CODE,BAR - CODE,,ID,CATEGORY,VARIETY,FABRIC,PRICE,IMAGE_SOURCE,
ZXQQPW2401190010166,sz2303235281325955,283,13112,Women Apparel,Petite S,10%Elastane & 90%Polyamide,"$ 93,000",,
ZXQQPW2401190010169,swshorts07201231722,110,13308,Women Apparel,XS,4%Viscose & 31%Cotton & 65%Polyester,"$ 75,000",,
ZXQQPW2401190010169,sz2308236158162940,150,13206,Women Apparel,S,5%Elastane & 95%Polyester,"$ 75,000",,
ZXQQPW2401190010171,sw2108190774051559,214,13113,Women Apparel,S,10%Elastane & 90%Polyester,"$ 93,000",,
ZXQQPW2401190010173,sz2309127427794981,268,13207,Women Apparel,M,100%Polyester,"$ 75,000",,
ZXQQPW2401190010173,sz2309127427794981,276,13208,Women Apparel,L,100%Polyester,"$ 75,000",,
ZXQQPW2401190010178,sw2110098707061276,311,13115,Women Apparel,L,93%Polyester & 7%Elastane,"$ 93,000",,
ZXQQPW2401190010184,sz2310311550455500,195,13418,Women Apparel,XL,94%Polyester & 6%Elastane,"$ 83,000",,
ZXQQPW2401190010192,sz2304075816928856,221,13309,Women Apparel,L,100%Polyester,"$ 75,000",,
ZXQQPW2401190010192,sw2211033033977094,278,13117,Women Apparel,M,100%Polyester,"$ 93,000",,
ZXQQPW2401190010192,sw2211033033977094,272,13118,Women Apparel,S,100%Polyester,"$ 93,000",,
ZXQQPW2401190010192,sz2310128191077092,222,13119,Women Apparel,Tall S,100%Polyester,"$ 93,000",,
ZXQQPW2401190010192,sz2311130219225205,297,13120,Women Apparel,M,100%Polyester,"$ 93,000",,
ZXQQPW2401190010195,sz2305094254253545,232,13121,Women Apparel,L,6%Elastane & 94%Polyester,"$ 93,000",,
ZXQQPW2401190010195,sz2310034569515863,320,13122,Women Apparel,XL,50%Cotton & 50%Polyester,"$ 93,000",, REVISAR OTRA REFERENCIA
ZXQQPW2401190010195,sz2307134833989848,179,13419,Women Apparel,XS,100%Polyester,"$ 83,000",,
ZXQQPW2401190010195,sw2209127828183418,289,13124,Women Apparel,XL,65%Cotton & 35%Polyester,"$ 93,000",,
ZXQQPW2401190010195,sw2208153827115639,382,13126,Women Apparel,L,94%Polyester & 6%Elastane,"$ 93,000",,
ZXQQPW2401190010198,sw2212213811688703,206,13127,Women Apparel,L,100%Cotton,"$ 93,000",,
ZXQQPW2401190010198,sz2310207624622157,250,13420,Women Apparel,XL,5%Elastane & 95%Polyester,"$ 83,000",,
ZXQQPW2401190010255,sz2310102221374779,439,13128,Women Apparel,L,100%Cotton,"$ 93,000",,
ZXQQPW2401190010270,sw2302019798530878,183,13421,Women Apparel,M,3%Elastane & 97%Polyester,"$ 83,000",,
ZXQQPW2401190010270,sw2301132161111152,340,13129,Women Apparel,40,92%Polyester & 8%Elastane,"$ 93,000",,
ZXQQPW2401190010278,sz2311157429056367,277,13311,Women Apparel,XL,77%Viscose & 3%Elastane & 20%Polyamide,"$ 75,000",,
ZXQQPW2401210010659,sz2305120990448994,330,13130,Women Apparel,M,94%Polyester & 6%Elastane,"$ 93,000",,
ZXQQPW2401210010663,sz2305100491507167,192,13131,Women Apparel,M,95%Polyester & 5%Elastane,"$ 93,000",,
ZXQQPW2401210010663,sw2211033033977094,278,13132,Women Apparel,M,100%Polyester,"$ 93,000",,
ZXQQPW2401210010668,sw2211033033977094,278,13133,Women Apparel,M,100%Polyester,"$ 93,000",,
ZXQQPW2401220010042,sz2308145514066006,266,13424,Women Apparel,L,50%Cotton & 50%Polyester,"$ 83,000",,
ZXQQPW2401220010042,sz2303191633393337,134,13312,Women Apparel,M,100%Polyester,"$ 75,000",,
ZXQQPW2401220010042,sz2307118872859520,138,13313,Women Apparel,M,100%Polyester,"$ 75,000",,
ZXQQPW2401220010042,sz2309015574789982,167,13425,Women Apparel,M,100%Polyester,"$ 83,000",,
ZXQQPW2401220010044,sz2311164891423323,239,13211,Women Apparel,XXL,92%Polyester & 8%Elastane,"$ 83,000",,
ZXQQPW2401220010045,sz2305020585777877,265,13134,Women Apparel,S,95%Polyester & 5%Elastane,"$ 93,000",,
ZXQQPW2401220010045,sz2303308440200991,273,13212,Women Apparel,M,9%Elastane & 91%Polyester,"$ 75,000",,
ZXQQPW2401220010046,sz2309057511686634,544,13506,Women Apparel,M,70%Cotton & 30%Polyester,"$ 93,000",,
ZXQQPW2401220010046,sz2303235281325955,291,13135,Women Apparel,Petite M,10%Elastane & 90%Polyamide,"$ 93,000",,
ZXQQPW2401220010047,sz2310176206293396,119,13426,Women Apparel,L,3%Elastane & 97%Polyester,"$ 83,000",,
ZXQQPW2401220010047,rw2301034155458434,229,13315,Women Apparel,M,100%Polyester,"$ 75,000",,
ZXQQPW2401220010048,sz2310281558958313,520,13137,Women Apparel,XS,36%Polyester & 64%Polyurethane,"$ 93,000",,
ZXQQPW2401220010048,sz2311243070563070,280,13138,Women Apparel,46,100%Polyester,"$ 93,000",,
ZXQQPW2401220010048,sz2311214413452673,201,13428,Women Apparel,L,100%Polyester,"$ 83,000",,
ZXQQPW2401220010049,sw2111094556439277,445,13139,Women Apparel,XS,100%Polyester,"$ 93,000",,
ZXQQPW2401220010053,rw2208188175692277,271,13429,Women Apparel,XL,95%Polyester & 5%Elastane,"$ 83,000",,
ZXQQPW2401220010053,sz2306136157164674,180,13507,Women Apparel,L,50%Cotton & 50%Polyester,"$ 83,000",,dep
ZXQQPW2401220010074,sz2308170701045160,250,13316,Women Apparel,S,100%Polyester,"$ 75,000",,
ZXQQPW2401220010074,sz2310148000347622,277,13140,Women Apparel,M,100%Polyester,"$ 93,000",,
ZXQQPW2401220010074,sz2310122158543185,144,13430,Women Apparel,M,95%Polyester & 5%Elastane,"$ 83,000",,
ZXQQPW2401220010074,sz2309137966230446,229,13141,Women Apparel,S,50%Cotton & 50%Polyester,"$ 93,000",,
ZXQQPW2401220010082,sw2111094556439277,465,13142,Women Apparel,S,100%Polyester,"$ 93,000",,
ZXQQPW2401220010082,sw2203152622857766,250,13143,Women Apparel,XS,100%Polyester,"$ 93,000",,
ZXQQPW2401220010084,sz2308154744243320,210,13144,Women Apparel,Petite S,100%Polyamide,"$ 93,000",,
ZXQQPW2401220010084,sz2304263728810108,262,13433,Women Apparel,XL,100%Cotton,"$ 83,000",,
ZXQQPW2401220010085,sz2309261828234838,300,13435,Women Apparel,XL,100%Polyester,"$ 83,000",,
ZXQQPW2401220010087,sz2308046664660076,305,13436,Women Apparel,L,5%Elastane & 95%Polyester,"$ 83,000",,
ZXQQPW2401220010087,sz2309011502774525,254,13437,Women Apparel,L,17%Polyester & 3%Wool & 70%Acrylic & 4%Viscose & 6%Cotton,"$ 83,000",,
ZXQQPW2401220010090,sz2308014129746295,207,13317,Women Apparel,L,94%Polyester & 6%Elastane,"$ 75,000",,
ZXQQPW2401220010093,sz2307124224105934,280,13145,Women Apparel,L,60%Polyester & 30%Cotton & 10%Elastane,"$ 93,000",,
ZXQQPW2401220010095,sw2111094556439277,483,13146,Women Apparel,M,100%Polyester,"$ 93,000",,
ZXQQPW2401220010097,sz2308094192736373,268,13147,Women Apparel,XS,96%Polyester & 4%Elastane,"$ 93,000",,
ZXQQPW2401220010099,sz2309268487295844,138,13438,Women Apparel,L,100%Polyester,"$ 83,000",,
ZXQQPW2401220010102,sz2304242924836222,326,13149,Women Apparel,M,6%Elastane & 94%Viscose,"$ 93,000",,
ZXQQPW2401170010012,sz2309281338107120,312,133301,Women Apparel,3XL,100%Polyester,"$ 83,000",,
ZXQQPW2401170010051,sz2304060060922800,260,131101,Women Apparel,2XL,100%Polyester,"$ 93,000",,
ZXQQPW2401170010051,sz2309261262816732,333,133302,Women Apparel,1XL,95%Polyester & 5%Elastane,"$ 83,000",,
ZXQQPW2401170010052,sz2310082527015117,504,133303,Women Apparel,1XL,5%Elastane & 95%Polyester,"$ 83,000",,
ZXQQPW2401170010053,sz2310171712373551,219,132201,Women Apparel,4XL,95%Polyester & 5%Elastane,"$ 83,000",,
ZXQQPW2401170010054,sz2310121147123552,322,133304,Women Apparel,2XL,100%Polyester,"$ 83,000",,
ZXQQPW2401170010106,sf2303030607645008,573,131102,Women Apparel,1XL,100%Polyester,"$ 93,000",,
ZXQQPW2401190010129,sz2309049802040016,245,133305,Women Apparel,1XL,100%Polyester,"$ 83,000",,
ZXQQPW2401190010152,sz2310100260505980,279,133306,Women Apparel,4XL,65%Polyester & 35%Viscose,"$ 83,000",,
ZXQQPW2401190010157,sz2303201232145968,269,131104,Women Apparel,1XL,100%Polyester,"$ 93,000",,
ZXQQPW2401190010159,sz2311202275017169,243,133307,Women Apparel,1XL,95%Polyester & 5%Elastane,"$ 83,000",,
ZXQQPW2401190010163,sz2310093878916315,248,133308,Women Apparel,1XL,100%Polyester,"$ 83,000",,
ZXQQPW2401190010167,sf2207117619541949,362,131105,Women Apparel,4XL,5%Elastane & 95%Polyester,"$ 93,000",,
ZXQQPW2401190010173,sz2306163492943352,437,133309,Women Apparel,0XL,100%Polyester,"$ 83,000",,
ZXQQPW2401190010173,sz2311202275017169,261,133310,Women Apparel,2XL,95%Polyester & 5%Elastane,"$ 83,000",,
ZXQQPW2401190010175,sf2205098051342214,200,133311,Women Apparel,1XL,100%Polyester,"$ 83,000",,
ZXQQPW2401190010192,sz2309209243713887,225,133312,Women Apparel,1XL,100%Polyester,"$ 83,000",,
ZXQQPW2401190010195,sz2311158110378724,517,132202,Women Apparel,2XL,95%Polyester & 5%Elastane,"$ 83,000",,
ZXQQPW2401190010198,sz2308307766299019,321,133313,Women Apparel,2XL,100%Polyester,"$ 83,000",,
ZXQQPW2401190010284,sz2310287603347955,282,133314,Women Apparel,1XL,100%Polyester,"$ 83,000",,
ZXQQPW2401190010284,sz2309164155435168,310,133315,Women Apparel,4XL,100%Polyester,"$ 83,000",,
ZXQQPW2401210010668,sz2310235244664766,386,133316,Women Apparel,1XL,100%Polyester,"$ 83,000",,
ZXQQPW2401220010044,sz2310132223534597,321,133317,Women Apparel,2XL,5%Elastane & 95%Polyester,"$ 83,000",,
ZXQQPW2401220010052,sz2309199220055082,227,133318,Women Apparel,2XL,100%Polyamide,"$ 83,000",,
ZXQQPW2401220010053,sz2303311571156165,190,133319,Women Apparel,4XL,50%Polyester & 50%Cotton,"$ 83,000",,
ZXQQPW2401220010053,sz2309010810802915,288,133320,Women Apparel,3XL,100%Polyester,"$ 83,000",,
ZXQQPW2401220010053,sf2109065195213479,223,133321,Women Apparel,0XL,100%Polyester,"$ 83,000",,
ZXQQPW2401220010053,sz2310187939355281,256,131106,Women Apparel,1XL,5%Elastane & 95%Polyester,"$ 93,000",,
ZXQQPW2401220010084,sz2311182246153622,190,132203,Women Apparel,3XL,90%Polyamide & 10%Elastane,"$ 83,000",,
ZXQQPW2401220010085,sz2309054248712242,343,133322,Women Apparel,3XL,100%Polyester,"$ 83,000",,
ZXQQPW2401220010087,sz2311278332138818,235,133323,Women Apparel,0XL,95%Polyester & 5%Elastane,"$ 83,000",,
ZXQQPW2401220010090,sz2310238625266032,410,133324,Women Apparel,1XL,100%Polyester,"$ 83,000",,
ZXQQPW2401220010097,sz2309251577566090,365,133325,Women Apparel,0XL,100%Polyester,"$ 83,000",,
ZXQQPW2401220010102,sz2307313293050153,231,131108,Women Apparel,0XL,5%Elastane & 95%Polyester,"$ 93,000",,
ZXQQPW2401170010046,sw2209289885280060,108,1403,Women Apparel,S,5%Elastane & 15%Metallized Fibres & 80%Polyamide,"$ 109,000",,
ZXQQPW2401170010051,sz2309201412171595,362,1404,Women Apparel,L,5%Elastane & 95%Polyester,"$ 109,000",,
ZXQQPW2401170010051,sz2309040433333131,230,1405,Women Apparel,XS,95%Polyester & 5%Elastane,"$ 109,000",,
ZXQQPW2401170010051,sz2308024759916664,941,1406,Women Apparel,L,100%Polyester,"$ 109,000",,
ZXQQPW2401170010052,twopiece171108703,267,1407,Women Apparel,XS,95%Polyester & 5%Elastane,"$ 109,000",,
ZXQQPW2401170010106,sz2308173774738926,395,1410,Women Apparel,S,30%Polyester & 70%Cotton,"$ 109,000",,
ZXQQPW2401190010134,sw2203225198484988,74,1411,Women Apparel,S,86%Polyester & 14%Elastane,"$ 109,000",,
ZXQQPW2401190010134,sz2309298218368889,612,1414,Women Apparel,M,40%Polyester & 60%Cotton,"$ 109,000",,
ZXQQPW2401190010137,sw2207263152851665,239,1415,Women Apparel,S,94%Polyester & 6%Elastane,"$ 109,000",,
ZXQQPW2401190010141,sz2309012066363707,530,1417,Women Apparel,M,50%Polyester & 50%Cotton,"$ 109,000",,
ZXQQPW2401170010053,sz2309289154116637,611,32201,Women Apparel,M,63%Cotton & 1%Elastane & 13%Viscose & 23%Polyester,"$ 109,000",,
ZXQQPW2401190010150,sz2310041115611459,761,1421,Women Apparel,M,100%Polyester,"$ 109,000",,
ZXQQPW2401190010150,sz2306175474102223,370,1422,Women Apparel,M,18%Cotton & 82%Polyester,"$ 109,000",,
ZXQQPW2401190010151,sz2309191445429222,405,1423,Women Apparel,XS,95%Polyester & 5%Elastane,"$ 109,000",,
ZXQQPW2401190010157,sz2309153025801715,457,1426,Women Apparel,XL,90%Polyester & 10%Elastane,"$ 109,000",,
ZXQQPW2401190010171,sz2309253484185755,595,1429,Women Apparel,XL,100%Polyester,"$ 109,000",,
ZXQQPW2401190010171,sz2308234206488365,252,1430,Women Apparel,M,3%Elastane & 97%Polyamide,"$ 109,000",,
ZXQQPW2401190010173,sz2307068361514391,660,1431,Women Apparel,L,100%Cotton,"$ 109,000",,
ZXQQPW2401190010176,sz2306027890882000,405,1435,Women Apparel,S,43%Viscose & 55%Polyester & 2%Elastane,"$ 109,000",,
ZXQQPW2401190010178,sz2306162600615665,831,1436,Women Apparel,XL,100%Polyester,"$ 109,000",,
ZXQQPW2401190010184,sz2306062909111601,303,1437,Women Apparel,XS,100%Polyester,"$ 109,000",,
ZXQQPW2401190010194,sz2309012892733999,473,1438,Women Apparel,L,100%Polyester,"$ 109,000",,
ZXQQPW2401190010198,sz2310170824868128,301,1440,Women Apparel,L,100%Polyester,"$ 109,000",,
ZXQQPW2401190010255,sz2309182774900447,725,1441,Women Apparel,S,100%Polyester,"$ 109,000",,
ZXQQPW2401190010255,sz2309216339318178,333,1442,Women Apparel,M,60%Polyester & 35%Viscose & 5%Elastane,"$ 109,000",,
ZXQQPW2401190010284,sz2310074422222062,407,1443,Women Apparel,L,100%Polyester,"$ 109,000",,
ZXQQPW2401210010674,sz2308072470733512,250,1445,Women Apparel,M,100%Polyester,"$ 109,000",,
ZXQQPW2401220010042,sz2308160843501483,402,1446,Women Apparel,S,22%Polyamide & 75%Viscose & 3%Elastane,"$ 109,000",,
ZXQQPW2401220010044,sz2307202377169277,400,1447,Women Apparel,S,20%Viscose & 40%Polyester & 40%Cotton,"$ 109,000",,
ZXQQPW2401220010045,sz2305301759157004,411,1448,Women Apparel,S,100%Polyester,"$ 109,000",,
ZXQQPW2401220010045,sz2305242272121111,310,1449,Women Apparel,XS,100%Polyester,"$ 109,000",,
ZXQQPW2401220010047,sz2309088757047627,451,1450,Women Apparel,L,95%Polyester & 5%Elastane,"$ 109,000",,
ZXQQPW2401220010047,sz2306164342532320,534,1451,Women Apparel,XL,5%Elastane & 95%Polyester,"$ 109,000",,
ZXQQPW2401220010048,sz2307130510450698,518,1452,Women Apparel,L,15%Cotton & 85%Polyester,"$ 109,000",,
ZXQQPW2401220010048,sz2307130510450698,533,1453,Women Apparel,XL,15%Cotton & 85%Polyester,"$ 109,000",,
ZXQQPW2401220010048,sz2305301759157004,411,1454,Women Apparel,S,100%Polyester,"$ 109,000",,
ZXQQPW2401220010049,sz2309200708551981,500,1455,Women Apparel,L,40%Viscose & 60%Polyester,"$ 109,000",,
ZXQQPW2401220010049,sz2309147757021506,293,1456,Women Apparel,XL,5%Elastane & 95%Polyester,"$ 109,000",,
ZXQQPW2401220010053,sz2306164342532320,490,1457,Women Apparel,L,5%Elastane & 95%Polyester,"$ 109,000",,
ZXQQPW2401220010053,sz2309209540011332,628,1458,Women Apparel,XL,3%Elastane & 97%Polyester,"$ 109,000",,
ZXQQPW2401220010074,sz2310318046040265,332,1460,Women Apparel,XL,100%Polyester,"$ 109,000",,
ZXQQPW2401220010082,sz2309049137336986,433,1461,Women Apparel,S,100%Polyester,"$ 109,000",,
ZXQQPW2401220010085,sz2311134416608042,480,1464,Women Apparel,M,95%Polyester & 5%Elastane,"$ 109,000",,
ZXQQPW2401220010087,sz2310318046040265,306,1467,Women Apparel,L,100%Polyester,"$ 109,000",,
ZXQQPW2401220010087,sz2309218882761333,598,1469,Women Apparel,XL,5%Elastane & 95%Polyester,"$ 109,000",,
ZXQQPW2401220010089,sz2309221551854111,280,1470,Women Apparel,M,97%Cotton & 3%Elastane,"$ 109,000",,
ZXQQPW2401220010089,sz2307114274301302,414,1471,Women Apparel,L,18%Linen & 82%Viscose,"$ 109,000",,
ZXQQPW2401220010097,sz2308116291981865,469,1473,Women Apparel,XL,10%Elastane & 90%Polyester,"$ 109,000",,
ZXQQPW2401220010097,sz2308249725494130,440,1474,Women Apparel,M,6%Elastane & 94%Polyester,"$ 109,000",,
ZXQQPW2401220010097,sz2307045532558757,399,1475,Women Apparel,XS,100%Polyester,"$ 109,000",,
ZXQQPW2401220010099,sz2306192619882642,486,1476,Women Apparel,XL,5%Elastane & 95%Polyester,"$ 109,000",,
ZXQQPW2401220010102,sz2308307872921602,480,1477,Women Apparel,M,95%Polyester & 5%Elastane,"$ 109,000",,
ZXQQPW2401220010102,sz2309214889366628,300,1478,Women Apparel,XL,8%Elastane & 92%Polyester,"$ 109,000",,
ZXQQPW2401170010012,sz2309113799571357,633,1479,Women Apparel,0XL,100%Polyester,"$ 109,000",,
ZXQQPW2401190010270,sz2307178367823607,693,1482,Women Apparel,4XL,95%Polyester & 5%Elastane,"$ 93,000",,
ZXQQPW2401220010085,sz2308182752481867,873,1483,Women Apparel,3XL,3%Elastane & 97%Polyester,"$ 109,000",,
ZXQQPW2401220010102,sz2309011111986911,825,1485,Women Apparel,3XL,95%Polyester & 5%Elastane,"$ 109,000",,
ZXQQPW2401170010011,swpants00200826374,677,15102,Women Apparel,M,45%Polyester & 53%Cotton & 2%Viscose,"$ 83,000",,
ZXQQPW2401170010012,sz2308017776824770,162,15202,Women Apparel,XS,70%Cotton & 2%Elastane & 4%Viscose & 24%Polyester,"$ 93,000",,
ZXQQPW2401170010046,sw2208045735512626,641,15104,Women Apparel,36,100%Cotton,"$ 83,000",,
ZXQQPW2401170010046,sw2203303931311311,525,15501,Women Apparel,L,5%Viscose & 4%Polyester & 91%Cotton,"$ 109,000",http://img.ltwebstatic.com/images3_pi/2022/05/26/1653533789cfdd96a3a283da9d3aa5e59f5a6326e4_thumbnail_405x552.jpg,
ZXQQPW2401170010049,sw2210245343646146,645,15106,Women Apparel,42,100%Cotton,"$ 83,000",,
ZXQQPW2401170010051,sz2310076298702292,594,15502,Women Apparel,M,69%Cotton & 15%Polyester & 13%Viscose & 3%Modal,"$ 109,000",http://img.ltwebstatic.com/images3_pi/2023/10/26/d4/1698291816b36fac1adb21ab3608720a35d8a2c75c_thumbnail_405x552.jpg,
ZXQQPW2401170010106,sw2211264409650059,216,15301,Women Apparel,Petite S,70%Cotton & 2%Elastane & 28%Polyester,"$ 75,000",,
ZXQQPW2401170010106,sw2208045735512626,652,15110,Women Apparel,34,100%Cotton,,,
ZXQQPW2401170010106,sz2307126333976226,818,15112,Women Apparel,40,100%Cotton,"$ 83,000",,
ZXQQPW2401190010129,sz2303303866103224,450,15113,Women Apparel,40,2%Elastane & 98%Cotton,"$ 83,000",,
ZXQQPW2401190010130,sz2308142221932623,639,15503,Women Apparel,S,8%Viscose & 62%Cotton & 1%Elastane & 29%Polyester,"$ 109,000",http://img.ltwebstatic.com/images3_pi/2023/09/26/9a/16957325562561f015c84f7baa15619ac88168f7eb_thumbnail_405x552.jpg,
ZXQQPW2401190010134,sz2310134346221420,380,15115,Women Apparel,42,98%Cotton & 2%Elastane,"$ 83,000",,
ZXQQPW2401190010134,sz2306092777922112,356,15303,Women Apparel,40,100%Cotton,"$ 75,000",,
ZXQQPW2401190010134,sz2310131111772332,395,15116,Women Apparel,42,2%Elastane & 98%Cotton,"$ 83,000",,
ZXQQPW2401190010150,sz2305093303740859,414,15119,Women Apparel,38,2%Elastane & 98%Cotton,"$ 83,000",,
